rank;unidade;local;distrito;emissões (t CO2eq);emissões (t GAS);proprietário-operador;empresa;setor;comentários;percentagem emissões territoriais;ano
11;Central Termoeléctrica do Ribatejo;Carregado, Alenquer;Lisboa;869142;;EDP - Gestão da Produção de Energia, S.A.;EDP;Energia - Centrais térmicas e outras instalações de combustão;"Tecnologia: Ciclo Combinado; Combustível: GN + GO";1.27683561;2018
12;CIMPOR - Centro de Produção de Souselas;Souselas;Coimbra;867099.2;864 000 t CO2 + 10.4t N2O;"CIMPOR – Indústria de Cimentos, S.A.; CIMPOR Portugal SGPS S.A. → OYAK Cement Group";CIMPOR;Construção;Instalações para a produção de cimento clínquer em fornos rotativos;1.273834582;2017
13;Fábrica Secil - Outão;Outão;Setúbal;835267;CO2;SECIL-Companhia Geral de Cal e Cimento, S.A.;SECIL;Construção;Instalações para a produção de cimento clínquer em fornos rotativos;1.227070663;2018
14;Navigator- Complexo Industrial da Figueira da Foz;Figueira da Foz;Coimbra;832274.6;827 000 t CO2 + 17.7 t N2O;Navigator Paper Figueira, SA  → The Navigator Company;The Navigator Company;Papel;"pasta branqueada de eucalipto (BEKP) e 800 mil toneladas de papéis finos de impressão e escrita não revestidos (UWF). Integra ainda uma central de cogeração a biomassa associada à fábrica de pasta para a produção de energia a partir de fontes renováveis, para além de uma cogeração a gás natural de ciclo combinado; Produção de pasta de papel a partir de madeira ou materiais fibrosos semelhantes; Produção de papel e cartão e outros produtos de madeira primários";1.2226746;2017
15;Central de Ciclo Combinado do Pego;Pego, Abrantes;Santarém;742714;742 714 t  CO2;ElecGas, S.A. → joint-venture entre a Endesa Generación e a TrustEnergy, cada uma com uma quota de 50%.;ElecGas, S.A.;Energia - Centrais térmicas e outras instalações de combustão;"Tecnologia: Ciclo Combinado; Combustível: GN + GO";1.091103276;2018
16;Europac Kraft Viana;Deocriste;Viana do Castelo;588039.6;585 000 t CO2 + 10.2t N2O;Ds Smith Paper Viana, S.a;DS Smith Paper;Papel;Instalações industriais para a produção de pasta de papel a partir de madeira ou materiais fibrosos similares;0.863874835;2017
17;Complexo Petroquímico da Repsol;Sines;Setúbal;561113;;Repsol Polímeros, Lda.;REPSOL;Químicos;No complexo existe uma Central Termoeléctrica para produção e distribuição de vapor e electricidade e 5 fábricas (Fabrico de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias) Não é claro se as emissões são referentes apenas à combustão de combustíveis nas instalações ou também a emissões relativas a processos indústriais das fábricas;0.824317614;2018
18;CTRSU - Central de Tratamento de Resíduos Sólidos Urbanos;Loures;Lisboa;547923;529000 t CO2 + 63.5 t N2O;Valorsul - Valorização e Tratamento de Resíduos Sólidos das Regiões de Lisboa e do Oeste, S.A.;Valorsul;Resíduos;Instalações para a incineração de resíduos não perigosos;0.804940502;2017
19;Navarra - Extrusão de Alumínio S.A.;Braga;Braga;471000;471 000 t CO2;Navarra - Extrusão de Alumínio, S.A.;Navarra - Extrusão de Alumínio;Metais;Instalações para tratamento de superfície de metais e materiais plásticos utilizando um processo electrolítico ou químico;0.691934773;2017
20;CELTEJO, Empresa de Celulose do Tejo,S.A.;Vila Velha de Ródão;Castelo Branco;465000;465 000 t CO2;CELTEJO - Empresa de Celulose do Tejo, S. A. → Altri Group;Altri Group;Papel;"Os valores no ETS 2018 são diferentes dos valores no PRTR; Instalações industriais para a produção de pasta de papel a partir de madeira ou materiais fibrosos similares";0.683120317;2017
21;Campoaves - Unidade de Transformação de Subprodutos;Figueira da Foz;Coimbra;394440.2;390 000 t CO2 + 14.9t N2O;CAMPOAVES – Aves do Campo, SA →  Grupo Lusiaves;Grupo Lusiaves;Carnes;Processamento e conservação de carne e produção de produtos à base de carne ( a unidade apresenta duas linhas de transformação de carne, duas linhas de transformação de penas e uma linha de transformação de sangue);0.579462612;2017
22;Indústria Mineral - Prod Cales não Hidraulicas;Alcanede;Santarém;384566;;Lusical - Companhia Lusitana de Cal S.A →  grupo Lhoist;Grupo Lhoist;Construção;Instalações para a produção de cal viva e cal hidratada;0.564956662;2018
23;Central de Valorização Energética e Confinamento Técnico;Maia;Porto;361000;361 000 t CO2;Lipor-Serviço Intermunicipalizados de Gestão Resíduos Grande Porto;Lipor;Resíduos;Instalações para a incineração de resíduos não perigosos;0.530336418;2017
24;Fábrica Maceira-Liz;Maceira;Leiria;354069;CO2;CMP-Cimentos Maceira e Pataias, S.A. → Secil S.A.;SECIL;Construção;Instalações para a produção de cimento clínquer em fornos rotativos;0.520154253;2018
25;About The Future – Unidade do Complexo Industrial de Setúbal da Navigator;Setúbal;Setúbal;306179;;About The Future-Empresa Produtora de Papel S.A. → The Navigator Company;The Navigator Company;Papel;Este valor poderá estar incluído nas emissões totais do Complexo Industrial de Setúbal da Navigator;0.449800206;2018
26;Central Termoeléctrica a Biomassa da Figueira da Foz;Figueira da Foz;Coimbra;293691.8;288 000 t CO2 + 19.1 t N2O;Celulose Beira Industrial (Celbi) S.A → Altri Group;Altri Group;Energia - Centrais térmicas e outras instalações de combustão;"Tecnologia: Caldeira + Turbina a Vapor; Combustível: DM + GN";0.43145556;2017
27;Europa&c Energia Viana, S.A.;Deocriste;Viana do Castelo;286880;;Europa&c Energia Viana, S.A.;Europac;Energia - Combustão de combustíveis nas instalações;Este valor poderá estar incluído nas emissões totais do Europac Kraft Viana;0.421448509;2018
28;Aeroporto Internacional Humberto Delgado;Lisboa;Lisboa;284688;281554 t CO2, 30 t CH4, 8 t N2O;Vinci;Vinci;Transportes - aviação;;0.418228294;2017
29;SPCG - Sociedade Portuguesa de Co-Geração Eléctrica, SA;Setúbal;Setúbal;284000;284 000 t CO2;SPCG - Sociedade Portuguesa de Co-Geração Eléctrica, SA;SPCG - Sociedade Portuguesa de Co-Geração Eléctrica;Energia - Produção, transmissão e distribuição de energia eléctrica;"Tecnologia: Caldeira + Turbina a Vapor; Combustível: DM + GN + GO";0.41721757;2017
30;CIMPOR - Centro de Produção de Loulé;Loulé;Faro;273000;273 000 t CO2;CIMPOR Portugal SGPS S.A. → OYAK Cement Group;CIMPOR;Construção;;0.401057735;2017
31;Fábrica Cibra – Pataias;Pataias, Alcobaça;Leiria;273000;273 000 t CO2;CMP-Cimentos Maceira e Pataias, S.A. → Secil S.A.;SECIL;Construção;;0.401057735;2017
32;Repsol-Produção de Electricidade e Calor - ACE;Sines;Setúbal;260000;260 000 t CO2;REPSOL - Produção de Electricidade e Calor ACE;REPSOL;Energia - Centrais térmicas e outras instalações de combustão;Valores diferentes dos registos das emissões do Complexo de Petroquímico da Repsol → não é claro se está englobado no valor total do complexo ou se é referente a emissões de outra fonte;0.381959747;2017
33;Central Térmica da Vitória;Funchal;Ilha da Madeira;233105;;Empresa de Electricidade da Madeira, S.A;Empresa de Electricidade da Madeira;Energia - Combustão de combustíveis nas instalações;;0.34244895;2018
34;Caima - Indústria de Celulose, S.A.;Constância;Santarém;231000;231 000 t CO2;Caima-Industria de Celulose SA → Altri group;Altri Group;Papel;Instalações industriais para a produção de pasta de papel a partir de madeira ou materiais fibrosos similares;0.339356545;2017
35;Central de Cogeração da Soporgen de Lavos;Lavos, Figueira da Foz;Coimbra;182000;182 000 t CO2;PortucelSoporcel Cogeração de Energia, S.A. --> Soporgen - Sociedade Portuguesa Geração de Electricidade e Calor S.A. em Edifício Fabril da Soporcel - Central Electrica, 3090-458 Costa de Lavos;The Navigator Company;Energia - Produção, transmissão e distribuição de energia eléctrica;"Tecnologia: Co-geração. Ciclo Combinado; Combustível: GN";0.267371823;2017
36;Soporcel;Figueira da Foz;Coimbra;174470;;Soporcel - Sociedade Portuguesa de Papel, SA;The Navigator Company;Papel;Produção de papel ou cartão;0.256309681;2018
37;RESPOL, Resinas, S.A.;Pinheiros;Leiria;158000;158 000 t CO2;Respol, Resinas, S.A.;REPSOL;Químicos;Instalações químicas para a produção à escala industrial de produtos químicos orgânicos básicos: Materiais plásticos de base (polímeros, fibras sintéticas e fibras à base de celulose);0.232114;2017
38;Soporcel Pulp;Figueira da Foz;Coimbra;153311;;Soporcel Pulp - Sociedade Portuguesa de Celulose, S.A.;The Navigator Company;Papel;Produção de pasta de papel;0.225225503;2018
39;Aterro Sanitário da Raposa;Almeirim;Santarém;149250;5970 t CH4;ECOLEZIRIA - Empresa Intermunicipal para Tratamento de Resíduos Sólidos, EIM;ECOLEZIRIA;Resíduos;Tratamento e eliminação de resíduos;0.219259586;2017
40;Central Termoeléctrica do Caldeirão;Ribeira Grande, Pico da Pedra;Ilha de São Miguel, Açores;144395;144 395 t CO2;Electricidade dos Açores S.A. - EDA;Electricidade dos Açores;Energia - Centrais térmicas e outras instalações de combustão;Combustível: FO + GO;0.212127222;2017
41;Santos Barosa vidros SA;Marinha Grande;Leiria;135476;CO2;Santos Barosa - Vidros, S.A. → Vidrala Group;Vidrala Group;Vidro;Instalações para o fabrico de vidro, incluindo fibra de vidro;0.199024534;2018
42;Central Térmica do Caniçal;Caniçal, Machico;Ilha da Madeira;132009;132 000 t CO2;AIE - Atlantic Islands Electricity (Madeira), S.A.;Atlantic Islands Electricity;Energia - Centrais térmicas e outras instalações de combustão;Centra de Cogeração: produção de energia eléctrica térmica e produz vapor. Combustível: FO + GO + GN;0.193931247;2017
43;Aterro Sanitário do Sotavento – Loulé;Loulé;Faro;121250;4850 t CH4;ALGAR - Valorização e Tratamento de Resíduos Sólidos, SA;ALGAR - Valorização e Tratamento de Resíduos Sólidos;Resíduos;Tratamento e eliminação de resíduos;0.178125459;2017
44;Central de Cogeração de Fisigen do Barreiro;Lavradio, Barreiro;Setúbal;119883;;Fisigen - Empresa de Cogeração, S.A. → EDP;EDP;Energia e Textil - Combustão de combustíveis nas instalações;Central insere-se na zona industrial do Lavradio, estando localizada no interior do perímetro industrial da SGL Composites S.A. (produtora europeia de fibras acrílicas);0.176117232;2018
45;Indorama Ventures Portugal Utility (antigo Centro de Utilidades Industriais Artelia Ambiente);Sines;Setúbal;114862;;Indorama Ventures Portugal PTA, Unipessoal Lda.;Indorama Ventures Portugal;Químicos - Combustão de combustíveis nas instalações;;0.168741002;2018
46;Aeroporto Francisco Sá Carneiro;Maia;Porto;109535;108341 t CO2, 12 t CH4, 3 t N2O;Vinci;Vinci;Transportes - aviação;;0.160915234;2017
47;Celulose Beira Industrial (Celbi), S.A.;Figueira da Foz;Coimbra;104555;1 040 000 t CO2 + 22.2t N2O;Celulose Beira Industrial (Celbi), S.A → Altri Group;Altri Group;Papel;"Os valores no ETS 2018 são diferentes dos valores no PRTR;  Instalações industriais para a produção de pasta de papel a partir de madeira ou materiais fibrosos similares";0.153599236;2017
48;Fábrica de Avintes;Avintes, Vila Nova de Gaia;Porto;99891;;BA Vidro, S.A.;BA Vidro;Vidro;Instalações para o fabrico de vidro, incluindo fibra de vidro;0.146747466;2018
49;Unidade de Portimão;Portimão;Faro;97000;3880 t CH4;ALGAR - Valorização e Tratamento de Resíduos Sólidos, SA;ALGAR;Resíduos;Tratamento e eliminação de resíduos;0.142500367;2017
50;Central Térmica do Belo Jardim;Praia da Vitória;Ilha Terceira, Açores;91860;;Electricidade dos Açores, S.A.;Electricidade dos Açores;Energia - Combustão de combustíveis nas instalações;;0.134949317;2018
51;Fábrica da Marinha Grande;Avintes, Marinha Grande;Leiria;88572;;BA Vidro, S.A.;BA Vidro;Vidro;Instalações para o fabrico de vidro, incluindo fibra de vidro;0.130118995;2018
52;Saint-Gobain Mondego, SA;Figueira da Foz;Coimbra;88515;;Saint-Gobain Mondego, SA (marca Veralia Portugal S.A.);Saint-Gobain;Vidro;Instalações para o fabrico de vidro, incluindo fibra de vidro;0.130035258;2018
53;Fábrica da Venda Nova;Venda Nova, Amadora;Lisboa;86215;;BA Vidro, S.A.;BA Vidro;Vidro;Instalações para o fabrico de vidro, incluindo fibra de vidro;0.126656383;2018
